dt,날짜,target,target_max15,target_max15_trapz,is_clone,is_off,is_stop,is_corrupt,is_prod_missing,train_ok,train_ok_strict,hour,dow,is_weekend,is_holiday,after_off,off_run_prev,days_since_off,shift,is_transition,month,prod,prod_cap,prod_log,prod_zero,day_prod,day_prod_zero,day_prod_hours,prod_prev,prod_next,prod_diff,hol_op,hol_prod,hol_day_prod,cool,temp,humid,thi,wind,rain,lag24,lag168,lag336,lag_week_mean4,lag_prev_op,prev_day_mean,prev_day_max,last_week_day_mean,last_week_day_max
2021-01-01 00:00:00,20210101,61,62,61.5,False,False,False,False,True,True,False,0,5,0,1,0,0.0,,0,0,1,0,0,0.0,1,0,1,0,,0.0,,0,0,0,0.0,-3.2,71,31.305719999999997,2.4,0.0,,,,,,,,,
2021-01-01 01:00:00,20210101,105,116,114.5,False,False,False,False,True,True,False,1,5,0,1,0,0.0,,0,0,1,0,0,0.0,1,0,1,0,0.0,0.0,0.0,0,0,0,0.0,-4.5,77,28.213649999999994,1.5,0.0,,,,,,,,,
2021-01-01 02:00:00,20210101,104,107,109.5,False,False,False,False,True,True,False,2,5,0,1,0,0.0,,0,0,1,0,0,0.0,1,0,1,0,0.0,0.0,0.0,0,0,0,0.0,-3.9,58,32.60762,2.6,0.0,,,,,,,,,
2021-01-01 03:00:00,20210101,105,110,110.0,False,False,False,False,True,True,False,3,5,0,1,0,0.0,,0,0,1,0,0,0.0,1,0,1,0,0.0,0.0,0.0,0,0,0,0.0,-4.1,56,32.697959999999995,2.6,0.0,,,,,,,,,
2021-01-01 04:00:00,20210101,107,108,108.5,False,False,False,False,True,True,False,4,5,0,1,0,0.0,,0,0,1,0,0,0.0,1,0,1,0,0.0,0.0,0.0,0,0,0,0.0,-4.6,60,31.261599999999998,2.6,0.0,,,,,,,,,
2021-01-01 05:00:00,20210101,92,99,98.5,False,False,False,False,True,True,False,5,5,0,1,0,0.0,,0,0,1,0,0,0.0,1,0,1,0,0.0,0.0,0.0,0,0,0,0.0,-5.5,66,28.813299999999998,2.1,0.0,,,,,,,,,
2021-01-01 06:00:00,20210101,107,111,110.5,False,False,False,False,True,True,False,6,5,0,1,0,0.0,,0,0,1,0,0,0.0,1,0,1,0,0.0,0.0,0.0,0,0,0,0.0,-5.6,67,28.468519999999998,1.5,0.0,,,,,,,,,
2021-01-01 07:00:00,20210101,61,92,97.5,False,False,False,False,True,True,False,7,5,0,1,0,0.0,,0,1,1,0,0,0.0,1,0,1,0,0.0,0.0,0.0,0,0,0,0.0,-6.8,73,25.438639999999996,0.6,0.0,,,,,,,,,
2021-01-01 08:00:00,20210101,24,27,28.0,False,False,False,False,True,True,False,8,5,0,1,0,0.0,,2,0,1,0,0,0.0,1,0,1,0,0.0,0.0,0.0,0,0,0,0.0,-5.6,72,27.476319999999998,0.0,0.0,,,,,,,,,
2021-01-01 09:00:00,20210101,22,22,22.0,False,False,False,False,True,True,False,9,5,0,1,0,0.0,,2,0,1,0,0,0.0,1,0,1,0,0.0,0.0,0.0,0,0,0,0.0,-3.3,62,32.735459999999996,1.2,0.0,,,,,,,,,
2021-01-01 10:00:00,20210101,22,22,22.0,False,False,False,False,True,True,False,10,5,0,1,0,0.0,,2,0,1,0,0,0.0,1,0,1,0,0.0,0.0,0.0,0,0,0,0.0,-1.2,54,36.964479999999995,2.1,0.0,,,,,,,,,
2021-01-01 11:00:00,20210101,25,28,27.5,False,False,False,False,True,True,False,11,5,0,1,0,0.0,,2,0,1,0,0,0.0,1,0,1,0,0.0,0.0,0.0,0,0,0,0.0,-0.1,50,39.019499999999994,3.5,0.0,,,,,,,,,
2021-01-01 12:00:00,20210101,22,23,24.5,False,False,False,False,True,True,False,12,5,0,1,0,0.0,,1,1,1,0,0,0.0,1,0,1,0,0.0,0.0,0.0,0,0,0,0.0,1.5,45,41.74825,2.8,0.0,,,,,,,,,
