dt,날짜,hour,pred,pred_max15,actual,actual_max15
2021-09-14 00:00:00,20210914,0,70.1727838196234,73.72638617512888,70,72
2021-09-14 01:00:00,20210914,1,110.04284212621751,117.70860962754422,110,116
2021-09-14 02:00:00,20210914,2,110.57103677773392,116.02364976931862,112,115
2021-09-14 03:00:00,20210914,3,110.43445086784423,117.8744149798442,105,114
2021-09-14 04:00:00,20210914,4,111.74152843180228,116.60328967866813,111,115
2021-09-14 05:00:00,20210914,5,99.08570947357488,114.32985835401384,93,115
2021-09-14 06:00:00,20210914,6,113.17421286054062,119.43768485753986,108,112
2021-09-14 07:00:00,20210914,7,129.49266717983878,167.57999613045718,140,156
2021-09-14 08:00:00,20210914,8,170.90081495122425,182.53708148057774,174,184
2021-09-14 09:00:00,20210914,9,171.3180655519281,177.91844877300923,166,178
2021-09-14 10:00:00,20210914,10,176.5562112487327,189.66635672269055,152,161
2021-09-14 11:00:00,20210914,11,170.4851007522549,179.090543961769,170,180
2021-09-14 12:00:00,20210914,12,116.8562164599323,134.65742415808654,118,135
2021-09-14 13:00:00,20210914,13,176.00321152379354,184.9547156038186,163,173
2021-09-14 14:00:00,20210914,14,175.2171043113298,182.6423930202394,158,162
2021-09-14 15:00:00,20210914,15,166.94998574122567,182.23547450164943,161,175
2021-09-14 16:00:00,20210914,16,170.06708643892372,177.56136034974122,160,165
2021-09-14 17:00:00,20210914,17,132.89736590654135,156.2839451697214,123,146
2021-09-14 18:00:00,20210914,18,156.0998200144608,164.30036364188274,158,164
2021-09-14 19:00:00,20210914,19,149.91732718384273,161.55159125539205,153,171
2021-09-14 20:00:00,20210914,20,132.61346035845412,138.84029761552918,128,130
2021-09-14 21:00:00,20210914,21,129.43783661556932,135.48857275507913,128,134
2021-09-14 22:00:00,20210914,22,119.10641320955489,127.26193351960062,111,120
2021-09-14 23:00:00,20210914,23,111.71041891012563,123.49973228009694,110,119
