dt,날짜,fold,hour,dow,target,pred,error,abs_error,is_peak,prod,day_prod,temp,is_holiday,after_off,off_run_prev,is_transition,after_prod_end,is_off
2021-05-05 08:00:00,20210505,2021-05,8,3,21,143.24739293876894,-122.24739293876894,122.24739293876894,False,0,2190,15.7,1,0,0.0,0,1,False
2021-05-05 09:00:00,20210505,2021-05,9,3,21,143.20985981839337,-122.20985981839337,122.20985981839337,False,0,2190,17.4,1,0,0.0,0,1,False
2021-05-05 11:00:00,20210505,2021-05,11,3,21,141.24307916493066,-120.24307916493066,120.24307916493066,False,0,2190,21.7,1,0,0.0,0,1,False
2021-05-05 13:00:00,20210505,2021-05,13,3,24,139.71823256307704,-115.71823256307704,115.71823256307704,False,0,2190,23.3,1,0,0.0,0,1,False
2021-05-05 10:00:00,20210505,2021-05,10,3,23,138.60267531450202,-115.60267531450202,115.60267531450202,False,0,2190,19.3,1,0,0.0,0,1,False
2021-05-05 14:00:00,20210505,2021-05,14,3,21,135.9814755299805,-114.98147552998049,114.98147552998049,False,0,2190,23.7,1,0,0.0,0,1,False
2021-05-19 08:00:00,20210519,2021-05,8,3,21,130.71859812537602,-109.71859812537602,109.71859812537602,False,841,2990,19.4,1,0,0.0,0,0,False
2021-05-05 15:00:00,20210505,2021-05,15,3,21,130.71057433572972,-109.71057433572972,109.71057433572972,False,0,2190,23.6,1,0,0.0,0,1,False
2021-05-05 18:00:00,20210505,2021-05,18,3,21,129.5078765726177,-108.5078765726177,108.5078765726177,False,0,2190,21.4,1,0,0.0,0,1,False
2021-05-05 16:00:00,20210505,2021-05,16,3,23,129.06324352050444,-106.06324352050444,106.06324352050444,False,0,2190,23.4,1,0,0.0,0,1,False
2021-05-05 19:00:00,20210505,2021-05,19,3,21,117.60965179322574,-96.60965179322574,96.60965179322574,False,0,2190,20.1,1,0,0.0,0,1,False
2021-05-05 17:00:00,20210505,2021-05,17,3,22,117.64984667192185,-95.64984667192185,95.64984667192185,False,0,2190,22.6,1,0,0.0,1,1,False
2021-05-05 21:00:00,20210505,2021-05,21,3,21,110.41097165296246,-89.41097165296246,89.41097165296246,False,0,2190,17.2,1,0,0.0,0,1,False
2021-05-19 09:00:00,20210519,2021-05,9,3,23,111.80669466794696,-88.80669466794696,88.80669466794696,False,0,2990,20.5,1,0,0.0,0,1,False
2021-05-05 20:00:00,20210505,2021-05,20,3,24,112.80250081831086,-88.80250081831086,88.80250081831086,False,0,2190,19.0,1,0,0.0,0,1,False
2021-05-19 14:00:00,20210519,2021-05,14,3,20,107.08745676768054,-87.08745676768054,87.08745676768054,False,0,2990,25.1,1,0,0.0,0,1,False
2021-05-19 13:00:00,20210519,2021-05,13,3,21,106.65912053543933,-85.65912053543933,85.65912053543933,False,0,2990,24.9,1,0,0.0,0,1,False
2021-05-19 18:00:00,20210519,2021-05,18,3,21,106.64221849127085,-85.64221849127085,85.64221849127085,False,0,2990,23.4,1,0,0.0,0,1,False
2021-05-19 15:00:00,20210519,2021-05,15,3,20,104.68349153442496,-84.68349153442496,84.68349153442496,False,0,2990,25.3,1,0,0.0,0,1,False
2021-05-19 10:00:00,20210519,2021-05,10,3,21,104.89583217709595,-83.89583217709595,83.89583217709595,False,0,2990,23.2,1,0,0.0,0,1,False
2021-05-19 16:00:00,20210519,2021-05,16,3,23,106.88358031078577,-83.88358031078577,83.88358031078577,False,0,2990,25.1,1,0,0.0,0,1,False
2021-05-19 11:00:00,20210519,2021-05,11,3,21,103.39695232729855,-82.39695232729855,82.39695232729855,False,0,2990,24.1,1,0,0.0,0,1,False
2021-05-05 22:00:00,20210505,2021-05,22,3,22,103.0501098552799,-81.0501098552799,81.0501098552799,False,0,2190,16.9,1,0,0.0,0,1,False
2021-05-05 23:00:00,20210505,2021-05,23,3,24,95.37788099651607,-71.37788099651607,71.37788099651607,False,0,2190,14.3,1,0,0.0,0,1,False
2021-05-05 12:00:00,20210505,2021-05,12,3,20,90.98515138125195,-70.98515138125195,70.98515138125195,False,0,2190,22.8,1,0,0.0,1,1,False
2021-05-20 06:00:00,20210520,2021-05,6,4,20,90.72101423876869,-70.72101423876869,70.72101423876869,False,0,15890,16.4,0,0,0.0,0,0,False
2021-05-20 03:00:00,20210520,2021-05,3,4,20,89.7512826439462,-69.7512826439462,69.7512826439462,False,0,15890,16.7,0,0,0.0,0,0,False
2021-05-20 04:00:00,20210520,2021-05,4,4,20,89.37530731783353,-69.37530731783353,69.37530731783353,False,0,15890,17.0,0,0,0.0,0,0,False
2021-05-19 17:00:00,20210519,2021-05,17,3,21,89.71123739323112,-68.71123739323112,68.71123739323112,False,0,2990,24.2,1,0,0.0,1,1,False
2021-05-20 01:00:00,20210520,2021-05,1,4,21,89.16894181108353,-68.16894181108353,68.16894181108353,False,0,15890,17.5,0,0,0.0,0,0,False
